itemid	wordnum	word	FullText	FullTextMarked	soft__label0
1	1	Samuel	Samuel	*Samuel*	11.427156448364258
1	2	Morse,	Samuel Morse,	Samuel *Morse,*	14.795094966888428
1	3	best	Samuel Morse, best	Samuel Morse, *best*	8.435091972351074
1	4	known	Samuel Morse, best known	Samuel Morse, best *known*	0.5117696523666382
1	5	today	Samuel Morse, best known today	Samuel Morse, best known *today*	9.002778053283691
1	6	as	Samuel Morse, best known today as	Samuel Morse, best known today *as*	0.948103666305542
1	7	the	Samuel Morse, best known today as the	Samuel Morse, best known today as *the*	2.602541446685791
1	8	inventor	Samuel Morse, best known today as the inventor	Samuel Morse, best known today as the *inventor*	8.015261709690094
1	9	of	Samuel Morse, best known today as the inventor of	Samuel Morse, best known today as the inventor *of*	0.2468147873878479
1	10	Morse	Samuel Morse, best known today as the inventor of Morse	Samuel Morse, best known today as the inventor of *Morse*	10.187722086906433
1	11	Code	Samuel Morse, best known today as the inventor of Morse Code	Samuel Morse, best known today as the inventor of Morse *Code*	5.938084125518799
1	12	and	Samuel Morse, best known today as the inventor of Morse Code and	Samuel Morse, best known today as the inventor of Morse Code *and*	3.909517526626587
1	13	one	Samuel Morse, best known today as the inventor of Morse Code and one	Samuel Morse, best known today as the inventor of Morse Code and *one*	6.6562180519104
1	14	of	Samuel Morse, best known today as the inventor of Morse Code and one of	Samuel Morse, best known today as the inventor of Morse Code and one *of*	0.0375954732298851
1	15	the	Samuel Morse, best known today as the inventor of Morse Code and one of the	Samuel Morse, best known today as the inventor of Morse Code and one of *the*	0.33586329221725464
1	16	inventors	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors	Samuel Morse, best known today as the inventor of Morse Code and one of the *inventors*	7.212961137294769
1	17	of	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors *of*	0.25626230239868164
1	18	the	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of *the*	1.1120455265045166
1	19	telegraph,	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph,	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the *telegraph,*	11.5651153922081
1	20	was	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, *was*	1.4652999639511108
1	21	originally	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was *originally*	7.593657493591309
1	22	a	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally *a*	2.0015621185302734
1	23	prominent	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a *prominent*	7.6673570573329926
1	24	painter.	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter.	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent *painter.*	8.802010536193848
1	25	While	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. *While*	6.756875991821289
1	26	he	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While *he*	1.9521042108535767
1	27	was	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he was	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he *was*	0.4775279760360718
1	28	always	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he was always	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he was *always*	6.3529791831970215
1	29	interested	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he was always interested	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he was always *interested*	4.843120574951172
1	30	in	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he was always interested in	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he was always interested *in*	0.02190047688782215
1	31	technology	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he was always interested in technology	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he was always interested in *technology*	7.998250961303711
1	32	and	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he was always interested in technology and	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he was always interested in technology *and*	1.0207217931747437
1	33	studied	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he was always interested in technology and studied	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he was always interested in technology and *studied*	8.317209243774414
1	34	electrical	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he was always interested in technology and studied electrical	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he was always interested in technology and studied *electrical*	9.051258623600006
1	35	engineering	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he was always interested in technology and studied electrical engineering	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he was always interested in technology and studied electrical *engineering*	3.190945625305176
